user_id,age,country,religion,continent
8,24.0,canada,christian,n_america
11400,49.0,canada,christian,n_america
11676,46.0,usa,christian,n_america
67544,30.0,canada,christian,n_america
85526,36.0,canada,christian,n_america
96054,29.0,canada,christian,n_america
116866,48.0,canada,christian,n_america
123629,20.0,canada,christian,n_america
177458,29.0,canada,christian,n_america
200273,32.0,canada,christian,n_america
210926,37.0,canada,christian,n_america
219008,60.0,canada,christian,n_america
263325,27.0,canada,christian,n_america
2954,71.0,usa,christian,n_america
152827,40.0,canada,christian,n_america
35704,53.0,usa,christian,n_america
83160,65.0,usa,christian,n_america
110912,36.0,usa,christian,n_america
137688,46.0,usa,christian,n_america
157969,30.0,usa,christian,n_america
192665,47.0,usa,christian,n_america
197659,49.0,usa,christian,n_america
208059,53.0,usa,christian,n_america
209163,27.0,usa,christian,n_america
29526,26.0,usa,christian,n_america
36836,56.0,usa,christian,n_america
46398,37.0,usa,christian,n_america
49300,34.0,usa,christian,n_america
49635,28.0,usa,christian,n_america
67958,39.0,usa,christian,n_america
113270,25.0,usa,christian,n_america
113519,43.0,usa,christian,n_america
115097,27.0,usa,christian,n_america
136509,31.0,usa,christian,n_america
148712,23.0,usa,christian,n_america
178269,46.0,usa,christian,n_america
180297,41.0,usa,christian,n_america
188589,20.0,malaysia,islam,islam
194722,25.0,usa,christian,n_america
198013,15.0,usa,christian,n_america
200674,58.0,usa,christian,n_america
207148,42.0,usa,christian,n_america
211919,38.0,usa,christian,n_america
212449,41.0,usa,christian,n_america
213191,25.0,usa,christian,n_america
230522,52.0,usa,christian,n_america
236322,31.0,usa,christian,n_america
238557,21.0,malaysia,islam,islam
242247,42.0,usa,christian,n_america
245827,43.0,usa,christian,n_america
248583,32.0,canada,christian,n_america
252282,42.0,usa,christian,n_america
252921,22.0,usa,christian,n_america
255661,34.0,usa,christian,n_america
52614,33.0,usa,christian,n_america
225910,19.0,usa,christian,n_america
274634,33.0,usa,christian,n_america
98499,47.0,canada,christian,n_america
166596,57.0,canada,christian,n_america
189238,27.0,newzealand,christian,ause
223066,51.0,canada,christian,n_america
92861,34.0,canada,christian,n_america
3363,29.0,usa,christian,n_america
61501,34.0,canada,christian,n_america
148514,35.0,usa,christian,n_america
174304,26.0,usa,christian,n_america
177090,37.0,usa,christian,n_america
256233,24.0,usa,christian,n_america
263256,21.0,usa,christian,n_america
176875,31.0,finland,christian,europe
213915,29.0,england,christian,europe
35826,35.0,usa,christian,n_america
226745,38.0,usa,christian,n_america
9,43.0,usa,christian,n_america
243,43.0,usa,christian,n_america
388,35.0,usa,christian,n_america
2977,25.0,usa,christian,n_america
3329,48.0,usa,christian,n_america
6795,31.0,usa,christian,n_america
7346,49.0,usa,christian,n_america
7352,53.0,usa,christian,n_america
9419,45.0,usa,christian,n_america
9747,27.0,usa,christian,n_america
9856,22.0,usa,christian,n_america
11224,51.0,usa,christian,n_america
12685,23.0,usa,christian,n_america
12923,39.0,usa,christian,n_america
13552,32.0,usa,christian,n_america
13582,29.0,portugal,christian,europe
14521,30.0,usa,christian,n_america
16666,44.0,usa,christian,n_america
16795,47.0,usa,christian,n_america
17761,47.0,usa,christian,n_america
19445,34.0,usa,christian,n_america
20435,62.0,usa,christian,n_america
20462,13.0,usa,christian,n_america
20801,29.0,brazil,christian,s_america
20916,43.0,usa,christian,n_america
21264,31.0,usa,christian,n_america
23511,56.0,usa,christian,n_america
23768,45.0,usa,christian,n_america
26240,30.0,usa,christian,n_america
26544,37.0,usa,christian,n_america
26593,14.0,usa,christian,n_america
27684,32.0,usa,christian,n_america
28123,34.0,usa,christian,n_america
28619,22.0,usa,christian,n_america
29654,42.0,germany,christian,europe
30487,40.0,usa,christian,n_america
30533,55.0,usa,christian,n_america
31299,74.0,usa,christian,n_america
